user_id,name,rag_query_text,filter_metadata_json
user_0446,Giuseppe Romano,"안녕하세요! 저는 Giuseppe Romano입니다. 30대 이탈리아 남자로, 이번엔 가족이랑 2명이서 여행을 왔어요. 저는 중간 정도 예산으로 여행을 즐기고 있고, 대기하는 것도 괜찮아요. 매운 음식은 잘 못 먹지만, 채식주의자는 아니라서 다양한 음식을 먹을 수 있답니다. 특별히 피해야 하는 재료는 없고, 오히려 파스타, 치즈, 해산물 같은 재료를 정말 좋아해요. 주로 양식을 선호하는 편이에요. 맛있는 음식과 좋은 추억을 만들고 싶어서 이렇게 소개드려요!","{""budget_range"": ""중"", ""spicy_available"": ""X"", ""vegetarian_options"": ""X"", ""main_ingredients_list"": ""파스타,치즈,해산물"", ""suitable_for"": ""가족"", ""food_category"": ""양식""}"
user_0016,Chun Hei Wong,"안녕하세요! 저는 Chun Hei Wong입니다. 저는 20대 남자이고, 홍콩에서 왔어요. 이번에는 친구들이랑 8명이서 함께 여행을 왔는데요, 다 같이 맛있는 음식도 먹고 좋은 추억 쌓으려고 합니다. 저는 중간 정도의 예산으로 식사하는 걸 선호하고, 매운 음식도 잘 먹는 편이에요. 특별히 피해야 할 재료는 없고, 해산물이나 닭고기, 야채를 정말 좋아합니다. 채식주의자는 아니고, 특히 중식 요리를 즐겨 먹어요. 기다리는 것도 괜찮으니까, 맛있는 곳이면 추천해주시면 정말 감사하겠습니다!","{""budget_range"": ""중"", ""spicy_available"": ""O"", ""vegetarian_options"": ""X"", ""main_ingredients_list"": ""해산물,닭고기,야채"", ""suitable_for"": ""친구"", ""food_category"": ""중식""}"
user_0153,Lina Müller,"안녕하세요! 저는 Lina Müller입니다. 독일에서 온 40대 여성이고요, 이번엔 가족이랑 4명이서 한국을 여행하고 있어요. 저희 가족은 양식 음식을 좋아해서, 소고기나 해산물, 그리고 다양한 야채 들어간 요리를 특히 즐깁니다. 저는 맵게 먹는 건 조금 어려워서 매운 음식은 피하고 있어요. 채식주의자는 아니고, 특별히 피해야 하는 재료도 없어서 웬만한 음식은 다 잘 먹는 편이에요. 식사 예산은 중간 정도 생각하고 있고요, 웨이팅이 조금 있어도 괜찮으니 맛있는 곳이라면 추천해주시면 기쁘게 기다릴 수 있습니다!","{""budget_range"": ""중"", ""spicy_available"": ""X"", ""vegetarian_options"": ""X"", ""main_ingredients_list"": ""소고기,해산물,야채"", ""suitable_for"": ""가족"", ""food_category"": ""양식""}"
user_0295,Hazel Brown,"안녕하세요! 저는 Hazel Brown입니다. 영국에서 온 20대 여성이고요, 이번에는 혼자 여행을 왔어요. 그래서 저 혼자만의 자유로운 여행을 만끽하고 있습니다. 저는 음식에 있어서는 중간 정도의 예산을 생각하고 있고, 대기하는 것도 괜찮아요. 매운 음식은 잘 못 먹는 편이라서 매운 건 피하고 싶고, 채식주의자는 아니에요. 특별히 피해야 할 재료도 없고, 오히려 소고기, 해산물, 그리고 야채를 정말 좋아해요. 양식 음식을 선호해서 맛있는 양식 레스토랑을 찾아다니는 게 여행의 소소한 즐거움이랍니다!","{""budget_range"": ""중"", ""spicy_available"": ""X"", ""vegetarian_options"": ""X"", ""main_ingredients_list"": ""소고기,해산물,야채"", ""suitable_for"": ""혼자"", ""food_category"": ""양식""}"
user_0041,Wei Zhang,"안녕하세요! 저는 Wei Zhang입니다. 저는 20대 남성이고 중국에서 왔어요. 이번 여행은 혼자라서 1명이서 왔습니다. 음식은 기다릴 수 있고, 예산은 중간 정도로 생각하고 있어요. 매운 음식도 잘 먹는 편이라 괜찮고, 채식주의자는 아니에요. 특별히 피하는 재료도 없어서 아무거나 다 잘 먹습니다. 특히 돼지고기, 해산물, 그리고 야채를 좋아해서 그런 메뉴가 있으면 꼭 먹어보고 싶어요. 중식을 가장 선호하지만, 다양한 음식도 즐길 준비가 되어 있습니다. 잘 부탁드려요!","{""budget_range"": ""중"", ""spicy_available"": ""O"", ""vegetarian_options"": ""X"", ""main_ingredients_list"": ""돼지고기,해산물,야채"", ""suitable_for"": ""혼자"", ""food_category"": ""중식""}"
user_0411,Jack Thompson,"안녕하세요! 저는 Jack Thompson입니다. 저는 40대 남성으로, 영국에서 왔어요. 이번엔 연인이랑 둘이서 여행을 오게 되었는데요, 새로운 곳에서 다양한 경험을 하는 걸 참 좋아합니다.

음식 고를 때는 예산이 중간 정도라 너무 비싸지 않은 곳을 선호하고, 기다리는 건 괜찮으니 맛집이라면 줄 서는 것도 즐길 수 있어요. 매운 음식은 잘 못 먹어서 맵지 않은 메뉴를 선호하고, 채식주의자는 아니라서 고기나 해산물도 부담 없이 잘 먹습니다. 특별히 피하는 재료는 없고, 소고기와 해산물, 그리고 신선한 야채를 좋아해요. 평소에는 양식류를 자주 찾는 편이라, 이번 여행에서도 맛있는 양식 메뉴를 기대하고 있습니다!","{""budget_range"": ""중"", ""spicy_available"": ""X"", ""vegetarian_options"": ""X"", ""main_ingredients_list"": ""소고기,해산물,야채"", ""suitable_for"": ""연인"", ""food_category"": ""양식""}"
user_0104,Aiden Smith,"안녕하세요! 저는 Aiden Smith입니다. 미국에서 온 40대 남자고요, 이번엔 연인이랑 둘이서 여행을 왔어요. 식사할 때는 조금 기다릴 수 있고, 예산은 중간 정도 생각하고 있습니다. 매운 음식도 괜찮고, 채식주의자는 아니에요. 특별히 피해야 하는 재료도 없어서 음식 선택이 자유로운 편이죠. 소고기, 해산물, 치즈를 특히 좋아하고, 양식 메뉴를 선호해요. 이런 제 취향에 맞는 맛있는 음식 추천해주시면 정말 감사하겠습니다!","{""budget_range"": ""중"", ""spicy_available"": ""O"", ""vegetarian_options"": ""X"", ""main_ingredients_list"": ""소고기,해산물,치즈"", ""suitable_for"": ""연인"", ""food_category"": ""양식""}"
user_0387,Priya Sharma,"안녕하세요! 저는 Priya Sharma입니다. 40대 여성이고, 인도에서 왔어요. 이번엔 가족이랑 5명이서 여행을 오게 되었어요. 저희 가족은 특별한 식습관이 있어서, 저는 채식만 하고 고기류는 피하고 있어요. 대신 두부, 야채, 콩 같은 재료를 정말 좋아해서 그런 음식이 있으면 더 좋겠어요. 매운 음식도 잘 먹는 편이라 인도 음식처럼 매콤한 것도 괜찮아요. 예산은 중간 정도로 생각하고 있고, 혹시 대기 시간이 좀 있어도 기다릴 수 있습니다. 인도 음식을 특히 좋아하지만, 새로운 채식 메뉴도 즐겨보고 싶어요. 잘 부탁드립니다!","{""budget_range"": ""중"", ""spicy_available"": ""O"", ""vegetarian_options"": ""O"", ""main_ingredients_list"": ""두부,야채,콩"", ""suitable_for"": ""가족"", ""food_category"": ""N/A""}"
user_0368,Tejas Patel,"안녕하세요! 저는 Tejas Patel입니다. 저는 50대 남성이고, 인도에서 왔어요. 이번에는 가족이랑 7명이서 여행을 오게 됐는데, 다 같이 맛있는 음식을 즐길 생각에 벌써부터 기대가 큽니다. 저희는 중간 정도의 예산으로 식사를 계획하고 있어서, 너무 고급지거나 너무 저렴한 곳보다는 적당한 가격대의 식당을 선호해요. 저는 맵게 먹는 것도 좋아해서, 매운 음식도 얼마든지 괜찮습니다. 그리고 채식주의자는 아니라서 고기도 잘 먹고, 특별히 피해야 하는 재료도 없어요. 오히려 닭고기, 야채, 그리고 향신료가 들어간 음식들을 정말 좋아합니다. 음식 종류로는 아무래도 인도 요리를 가장 선호하지만, 새로운 음식도 도전해볼 의향이 있어요. 그리고 만약 자리가 없어서 기다려야 한다면, 가족들과 이야기 나누면서 기다릴 수 있으니 전혀 문제되지 않습니다. 이런 저희 가족에게 잘 맞는 식당을 추천해주시면 정말 감사하겠습니다!","{""budget_range"": ""중"", ""spicy_available"": ""O"", ""vegetarian_options"": ""X"", ""main_ingredients_list"": ""닭고기,야채,향신료"", ""suitable_for"": ""가족"", ""food_category"": ""N/A""}"
user_0407,Ji-Hyeon Kim,"안녕하세요! 저는 Ji-Hyeon Kim입니다. 20대 남자이고, 대한민국에서 왔어요. 이번엔 연인이랑 둘이서 여행을 왔는데요, 새로운 한식 맛집을 찾아다니는 걸 정말 좋아합니다. 저희 예산은 중간 정도라서 너무 비싼 곳보다는 가성비 좋은 곳을 선호해요. 기다릴 수 있는 편이라 인기 있는 집이라면 조금 줄 서는 것도 괜찮아요.

음식 취향을 말씀드리면, 맵게 먹는 것도 잘하고, 채식주의자는 아니에요. 특별히 피해야 하는 재료는 없고요, 오히려 소고기, 해산물, 야채가 들어간 요리를 좋아합니다. 다양한 한식 메뉴를 즐기고 싶어서, 추천해주실 만한 곳이 있다면 알려주세요!","{""budget_range"": ""중"", ""spicy_available"": ""O"", ""vegetarian_options"": ""X"", ""main_ingredients_list"": ""소고기,해산물,야채"", ""suitable_for"": ""연인"", ""food_category"": ""한식""}"
user_0057,Hyeon-woo Kim,"안녕하세요! 저는 Hyeon-woo Kim입니다. 50대 남성이고, 대한민국에서 왔어요. 이번에는 가족이랑 6명이서 함께 여행 중이에요. 저희 가족은 한식을 정말 좋아하고, 저는 소고기, 해산물, 야채를 특히 즐기는 편이에요. 특별히 피하는 재료는 없고, 채식주의자는 아니에요. 매운 음식도 잘 먹는 편이라서 매운맛도 환영입니다. 예산은 중간 정도로 생각하고 있고, 음식점에서 오래 기다리는 건 조금 힘들 것 같아요. 이런 저한테 맞는 한식집이 있다면 추천해주시면 정말 감사하겠습니다!","{""budget_range"": ""중"", ""spicy_available"": ""O"", ""vegetarian_options"": ""X"", ""main_ingredients_list"": ""소고기,해산물,야채"", ""suitable_for"": ""가족"", ""food_category"": ""한식""}"
